"row ID","educationInfoForAgeGroupEstimation","workInfoForAgeGroupEstimation","gender","realAge","ageGroup","relationship","educationLevel","occupation","income"
"d0cc2d6caf6eb55ccf606770f24df2b5",,,"female",,"",,,,
"eb4e2aa0bf687227821b17cfcd5365e3","Bukit Batok Secondary School ITE College West Choa Chu Kang New Town, Singapore",,"female",,"",,"college",,
"acfb8e93139fe820996b27ee3c6bc9db","St Patrick&#039;s School, Singapore Class of 2010 Singapore Polytechnic Class of 2014 � Aerospace Electronics � Queenstown, Singapore",,"male",,"AGE10_20","single","college",,
"ea251951bd3c7667daf214e8efa92f4e",,,"female",,"",,,,"$$"
"f8f7b497ad8167535345bfc3d59d6aaa",,"PT. Duta Marga Lestarindo September 2013 to present Land Transport Authority Project Engineer � August 2011 to July 2013 T.Y. Lin International Civil Engineer � January 2010 to June 2010","female",,"",,,"archetecture and engineering",
"b6c4d3acf3f90ada2439e2f5668cdc07","Alok Study Group Bandung SMAK TRIMULIA Bandung, Indonesia SMPK Yahya International Center for Applied Technology Binus Center Bandung",,"male",27,"AGE20_30","single",,,
"ebf87b9e2429bcf060e7db769c1367e6",,,"female",,"",,,,
"9fc4094591ce99cab44bafbc9644dfe9",,,"female",,"",,,,"$"
"ec7980ca47e2864432025a78a71ba3cc",,,"female",,"",,,,
"65b308410a4cbcd64426050b7b579345",,,"female",,"",,,,
"6c209653fb1c78f2ceb117136e62e218","Guangyang Secondary School Singapore","Singapore Armed Forces","male",,"",,"school",,
"7e78bfe271ed998a4f3250a9a98043ce","Ngee Ann Polytechnic Clementi, Singapore Yuan Ching Secondary School Class of 2010 � Singapore Ngee Ann Polytechnic Class of 2014 � Accountancy � Singapore Ngee Ann Polytechnic Singapore",,"female",,"AGE10_20",,"college",,
"40d8760be9ed3b6e806cc4966b567037",,"Astro Radio 2013 to present","male",,"",,,,
"32ca67d052deeef4cfdcf6cb43093184","CHIJ Toa Payoh Singapore CHIJ Secondary Toa Payoh","Marina Bay Sands Waitress � 2012 to present","female",,"",,,"food preparation and service related",
"804a816175cf32491238ee72f99461da","Fashion Institute of Design and Merchandising Visual Communication",,"female",,"",,"college",,
"d17099a61d71e845dc0f4c025266f452",,,"female",,"",,,,
"3d1997a734cb3c166032a312a63e06aa","ITE College East Singapore ITE College East Electrical engineering technology � Singapore","Singapore Armed Forces","male",19,"AGE20_30",,"college",,
"8dd3595e30eed2ed2bce504a9f101d11","University of the Philippines BA Communications � Quezon City, Philippines De La Salle University Class of 2010 � MA Marketing Communications � Manila, Philippines",,"male",,"AGE20_30",,"undergraduate",,
"007e7e8169021679d9f95b2e5a9d17c4",,"3rd Battalion Singapore Infantry Regiment (3SIR) Singapore","male",,"",,,,
"972ee180226f610d2c2a7056e3b1ed19","Bishan Park Secondary School Singapore",,"male",,"","single","school",,
"f47685d051e8db6b43523eaad3cabc89",,"CHiLL-REX! Group April 2011 to present CapturesTheMoment Photography Photographer � 2009 to present � Singapore, Singapore SIM University Namly Relationship and Management � September 2013 to October 2013 � Singapore, Singapore OCBC Bank Service Ambassador � August 2013 to September 2013 Digiphoto Entertainment Imaging Pte Ltd September 2011 to March 2012 � Singapore, Singapore We are a Kodak company engage in souvenir photography. We are currently operating in Dubai&#039;s tourists destinations like Wild Wadi, Ski Dubai, Bab Al Shams, Jumeirah Beach Hotels, and Sentosa in Singapore. We also have professional photographers who can cover special events.","male",,"","single",,"arts, design, entertainment, sports, and media","$$"
"6c70c0f28f77ddeaaf595e494f37741d",,,"female",,"",,,,
"2171ab486e0cb6701c9bb50d34b3db22",,,"male",,"",,,,
"de208b2f7eb77ec74f6bc67363e52f85","MDIS Singapore",,"male",,"",,,,
"6e2828ef1db3c71e1f1e385a5a02df52","Cora Doloroso Career Centre Manila, Philippines PAGASA Meteorological Technician Training Course � Meteorology � Quezon City, Philippines Meteorological Technician Training Course",,"male",,"",,,,
"1dbfa1d013348121219ffafafce23416","St. Anthony&#039;s Canossian Secondary School Singapore",,"female",,"",,"school",,
"e718bc85784f3cd79b854095abeaa73d",,,"male",,"",,,,
"5cb0ff762cd56689a3923c52e5df7567","High School Batu Pahat High School Batu Pahat Universiti Tunku Abdul Rahman Class of 2003 � Kajang, Malaysia Sheffield Hallam University Class of 2003 � Information Technology � Sheffield",,"male",,"AGE30_40",,"undergraduate",,
"8ba44e4a4bed859e36e3c55f9d0782c9",,,"female",20,"AGE20_30",,,,
"35226aad4c38a41089e2407c4eba7442",,"Bugg Design Biz. Dev . Manager � August 2014 to present � Singapore The next evolution - Biz development","male",,"",,,"management",
"87211a88522a185a851af56ef1668761","Chong Boon Secondary School Class of 2005 � Singapore Townsville Primary School Class of 1999 � Singapore SIM Global Education, Singapore Institute of Management Business Management � Singapore Republic Polytechnic Class of 2011 � Business Information Systems � Singapore",,"female",22,"AGE20_30",,"college",,"$"
"7356926b67c66e378fbfd9688c9afb9c","RMIT University (SIM) Melbourne, Victoria, Australia SIM-RMIT Bachelor of Design (Communication Design) Singapore",,"male",,"",,"undergraduate",,
"d7c27c8c987a10d29e8758895409fbb2",,,"male",,"",,,,"$$"
"444007cf85d2693edb2946410f1aaf37",,,"female",,"",,,,
"c5d3fc1ecc7c5683b851df61a6ae4d83",,,"female",,"",,,,
"b5242ec8143dc109d5c36909be5ca601",,,"female",,"",,,,
"8dabf4616b419954b46a4cbf40ed0679",,,"male",,"",,,,
"0b8098e3603c706ffd743e76cc3857d8",,,"female",,"",,,,
"3ef1449d40239ea8171cda002651bc31",,,"male",,"",,,,
